"IdEmpresa";"IdOT";"Item";"Estado";"Venta";"Costo"
"1";"142";"7";"1";"19500";"16500"
"1";"143";"1";"1";"45000";"37000"
"1";"143";"2";"1";"45000";"37000"
"1";"144";"1";"1";"43000";"36000"
"1";"145";"1";"1";"43000";"37000"
"1";"146";"1";"1";"33000";"30000"
"1";"146";"2";"1";"33000";"30000"
"1";"147";"1";"1";"33000";"30000"
"1";"148";"1";"1";"33000";"30000"
"1";"149";"1";"1";"33000";"30000"
"1";"150";"1";"1";"33000";"30000"
"1";"151";"1";"1";"95000";"80000"
"1";"152";"1";"1";"37000";"28000"
"1";"153";"1";"1";"51000";"32000"
"1";"154";"1";"1";"45000";"37000"
"1";"154";"2";"1";"45000";"37000"
"1";"154";"3";"1";"45000";"37000"
"1";"154";"4";"1";"45000";"37000"
"1";"154";"5";"1";"45000";"38000"
"1";"154";"6";"1";"45000";"37000"
"1";"154";"7";"1";"45000";"38000"
"1";"155";"1";"1";"45000";"37000"
"1";"155";"2";"1";"45000";"37000"
"1";"155";"3";"1";"45000";"37000"
"1";"155";"4";"1";"45000";"37000"
"1";"156";"1";"1";"45000";"37000"
"1";"157";"1";"1";"43000";"36000"
"1";"157";"2";"1";"43000";"36000"
"1";"157";"3";"1";"43000";"36000"
"1";"157";"4";"1";"43000";"36000"
"1";"157";"5";"1";"43000";"36000"
"1";"157";"6";"1";"43000";"37000"
"1";"158";"1";"1";"33000";"30000"
"1";"158";"2";"1";"33000";"30000"
"1";"158";"3";"1";"33000";"30000"
"1";"159";"1";"1";"33000";"30000"
"1";"160";"1";"1";"33000";"30000"
"1";"161";"1";"1";"81300";"60000"
"1";"162";"1";"1";"33000";"30000"
"1";"163";"1";"1";"26000";"18000"
"1";"164";"1";"1";"81300";"60000"
"1";"164";"2";"1";"81300";"60000"
"1";"165";"1";"1";"45000";"37000"
"1";"165";"2";"1";"45000";"38000"
"1";"166";"1";"1";"45000";"37000"
"1";"166";"2";"1";"45000";"37000"
"1";"166";"3";"1";"45000";"37000"
"1";"167";"1";"1";"45000";"37000"
"1";"167";"2";"1";"45000";"37000"
"1";"168";"1";"1";"41000";"36000"
"1";"169";"1";"1";"41000";"36000"
"1";"171";"1";"1";"41000";"36000"
"1";"172";"1";"1";"19500";"16500"
"1";"172";"2";"1";"19500";"16500"
"1";"172";"3";"1";"19500";"16500"
"1";"172";"4";"1";"19500";"16500"
"1";"172";"5";"1";"19500";"16500"
"1";"172";"6";"1";"19500";"16500"
"1";"172";"7";"1";"19500";"16000"
"1";"173";"1";"1";"43000";"36000"
"1";"174";"1";"1";"43000";"36000"
"1";"175";"1";"1";"52000";"44000"
"1";"175";"2";"1";"52000";"44000"
"1";"176";"1";"1";"45000";"37000"
"1";"176";"2";"1";"45000";"37000"
"1";"177";"1";"1";"45000";"37000"
"1";"178";"1";"1";"45000";"37000"
"1";"178";"2";"1";"45000";"37000"
"1";"179";"1";"1";"67000";"45000"
"1";"180";"1";"1";"52000";"44000"
"1";"180";"2";"1";"52000";"44000"
"1";"180";"3";"1";"52000";"45000"
"1";"180";"4";"1";"52000";"45000"
"1";"181";"1";"1";"33000";"30000"
"1";"181";"2";"1";"33000";"30000"
"1";"181";"3";"1";"33000";"30000"
"1";"181";"4";"1";"33000";"30000"
"1";"181";"5";"1";"33000";"30000"
"1";"181";"6";"1";"33000";"30000"
"1";"182";"1";"1";"27000";"22000"
"1";"182";"2";"1";"27000";"22000"
"1";"182";"3";"1";"27000";"22000"
"1";"183";"1";"1";"37000";"28000"
"1";"184";"1";"1";"27000";"24000"
"1";"184";"2";"1";"27000";"24000"
"1";"184";"3";"1";"27000";"24000"
"1";"184";"4";"1";"27000";"24000"
"1";"185";"1";"1";"15000";"8000"
"1";"185";"2";"1";"15000";"8000"
"1";"186";"1";"1";"64500";"44000"
"1";"186";"2";"1";"64500";"44000"
"1";"186";"3";"1";"64500";"47000"
"1";"186";"4";"1";"64500";"47000"
"1";"187";"1";"1";"54000";"47000"
"1";"187";"2";"1";"54000";"47000"
"1";"188";"1";"1";"45000";"37000"
"1";"188";"2";"1";"45000";"38000"
"1";"188";"3";"1";"45000";"37000"
"1";"188";"4";"1";"45000";"37000"
"1";"189";"1";"1";"45000";"38000"
"1";"189";"2";"1";"45000";"38000"
"1";"190";"1";"1";"45000";"38000"
"1";"191";"1";"1";"34500";"26000"
"1";"192";"1";"1";"81300";"60000"
"1";"192";"2";"1";"81300";"60000"
"1";"193";"1";"1";"52000";"45000"
"1";"194";"1";"1";"12500";"6000"
"1";"195";"1";"1";"35500";"26000"
"1";"196";"1";"1";"41000";"36000"
"1";"196";"2";"1";"41000";"36000"
"1";"196";"3";"1";"41000";"36000"
"1";"196";"4";"1";"41000";"36000"
"1";"197";"1";"1";"33000";"30000"
"1";"197";"2";"1";"33000";"30000"
"1";"198";"1";"1";"33000";"30000"
"1";"198";"2";"1";"33000";"30000"
"1";"199";"1";"1";"33000";"30000"
"1";"200";"1";"1";"41000";"36000"
"1";"200";"2";"1";"41000";"36000"
"1";"200";"3";"1";"41000";"36000"
"1";"201";"1";"1";"26000";"18000"
"1";"201";"2";"1";"26000";"18000"
"1";"201";"3";"1";"26000";"18000"
"1";"202";"1";"1";"26000";"18000"
"1";"202";"2";"1";"26000";"18000"
"1";"203";"1";"1";"45000";"37000"
"1";"203";"2";"1";"45000";"37000"
"1";"204";"1";"1";"45000";"37000"
"1";"204";"2";"1";"45000";"37000"
"1";"204";"3";"1";"45000";"37000"
"1";"204";"4";"1";"45000";"37000"
"1";"205";"1";"1";"27000";"24000"
"1";"205";"2";"1";"27000";"24000"
"1";"206";"1";"1";"41000";"35000"
"1";"207";"1";"1";"33000";"30000"
"1";"207";"2";"1";"33000";"30000"
"1";"209";"1";"1";"45000";"38000"
"1";"209";"2";"1";"45000";"38000"
"1";"210";"1";"1";"45000";"38000"
"1";"210";"2";"1";"45000";"38000"
"1";"211";"1";"1";"12500";"6000"
"1";"212";"1";"1";"27000";"24000"
"1";"213";"1";"1";"27000";"24000"
"1";"214";"1";"1";"33000";"30000"
"1";"214";"2";"1";"33000";"30000"
"1";"214";"3";"1";"33000";"30000"
