idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
81;1;PTO BS AS;SANTA FE;;600;1200;10;12;0;45000;07/10/2020 00:00;1;2;\N;
82;1;PTO BS AS;BALCARCE/CARRETONES;PTO BS AS;400;800;7;8;1;100000;13/10/2020 00:00;1;2;\N;
83;1;PTO BS AS;HERNANDO;PTO BS AS;625;1250;9;11;1;62000;04/03/2021 00:00;1;2;\N;
84;1;PTO BS AS;LOS CARDALES;PTO BS AS;85;170;2;2;1;11000;12/11/2020 00:00;1;3;\N;
85;1;PTO BS AS;LAS FLORES;PTO BS AS;200;400;3;4;1;37000;26/04/2021 00:00;1;2;\N;
86;1;PTO BS AS;LA BANDA ;PTO BS AS;1070;2140;12;14;1;85000;16/11/2020 00:00;1;2;\N;
87;1;PTO BS AS;SAN MARTIN;PTO BS AS;15;30;1;2;1;9000;18/11/2020 00:00;1;2;\N;
88;1;PTO BS AS;FATIMA-PILAR;PTO BS AS;60;120;3;4;1;11000;04/12/2020 00:00;1;2;\N;
90;1;PTO BS AS;ALLEN-RIO NEGRO;PTO BS AS;1100;2200;15;20;1;115000;10/12/2020 00:00;1;2;\N;
91;1;PTO BS AS;LA PLATA;PTO BS AS;60;120;2;4;1;12000;14/12/2020 00:00;1;2;\N;
92;1;PTO BS AS;BECCAR;PTO BS AS;20;40;2;3;1;10000;06/01/2021 00:00;1;2;\N;
93;1;PTO BS AS;HAEDO;PTO BS AS;35;70;2;2;1;11000;12/01/2021 00:00;1;3;\N;
94;1;PTO BS AS;PARANÁ;PTO BS AS;470;940;8;9;1;55000;03/03/2021 00:00;1;2;\N;
95;1;PTO BS AS;LAS PAREJAS;PTO BS AS;410;820;6;7;1;45000;09/03/2021 00:00;1;2;\N;
96;1;PTO BS AS;LOBOS;PTO BS AS;100;200;3;4;1;20000;10/03/2021 00:00;1;2;\N;
97;1;PTO BS AS;C.A.B.A.;PTO BS AS;5;10;1;15;1;8000;25/03/2021 00:00;1;3;\N;
98;1;PTO ZARATE;BALCARCE;PTO ZARATE;480;960;8;10;1;70000;29/03/2021 00:00;1;3;\N;
101;1;PTO BS AS;SARANDI;PTO BS AS;7;14;1;1;1;15000;06/05/2021 00:00;1;3;\N;
102;1;PTO BS AS;RAFAELA;PTO BS AS;550;1100;8;9;1;70000;31/05/2021 00:00;1;3;\N;
103;1;PTO BS AS;SANTA ROSA;PTO BS AS;620;1240;8;10;1;80000;02/06/2021 00:00;1;3;\N;
104;1;PTO BS AS;ZARATE;PTO BS AS;80;160;2;3;1;25000;02/06/2021 00:00;1;3;\N;
105;1;PTO BS AS;LOS CHARRUAS;PTO BS AS;460;920;7;9;1;70000;03/06/2021 00:00;1;3;\N;
106;1;PTO BS AS;QUEQUEN;PTO BS AS;505;1010;7;8;1;70000;04/06/2021 00:00;1;3;\N;
107;1;PTO BS AS;LINCOLN-ZARATE;PTO BS AS;330;720;5;6;1;53000;04/06/2021 00:00;1;3;\N;
108;1;PTO BS AS;GUALEGUAYCHU;PTO BS AS;230;460;4;4;1;45000;07/06/2021 00:00;1;3;\N;
109;1;PTO BS AS;MONTE CASEROS;PTO BS AS;600;1200;8;9;1;80000;08/06/2021 00:00;1;3;\N;
110;1;PTO BS AS;CAÑADA ROSQUIN;PTO BS AS;450;900;9;10;1;68000;08/06/2021 00:00;1;3;\N;
111;1;PTO BS AS;GENERAL MADARIAGA;PTO BS AS;370;740;6;7;1;62000;08/06/2021 00:00;1;3;\N;
112;1;PTO BS AS;AZUL;PTO BS AS;300;600;5;6;1;60000;09/06/2021 00:00;1;3;\N;
114;1;PTO BS AS;SAN JORGE;PTO BS AS;500;1000;8;9;1;75000;09/06/2021 00:00;1;3;\N;
115;1;PTO BS AS;TAFI VIEJO - IMO;PTO BS AS;1270;2540;12;14;1;190000;09/06/2021 00:00;1;3;\N;
116;1;PTO BS AS;TANCACHA;PTO BS AS;655;1310;9;10;1;80000;11/06/2021 00:00;1;3;\N;
117;1;PTO BS AS;SAF - BARRACAS;;5;10;1;1;0;8000;11/06/2021 00:00;1;3;\N;
118;1;SAF - BARRACAS;DOCK SUD;;5;10;1;1;0;10000;11/06/2021 00:00;1;3;\N;
119;1;PTO BS AS;SAENZ PEÑA;PTO BS AS;1105;2210;15;16;1;142000;14/06/2021 00:00;1;3;\N;
120;1;PTO BS AS;PUERTO MADRYN;PTO BS AS;1300;2600;18;19;1;220000;14/06/2021 00:00;1;3;\N;
121;1;PTO BS AS;RECONQUISTA;PTO BS AS;800;1600;10;12;1;93000;17/06/2021 00:00;1;3;\N;
122;1;PTO BS AS;PQUE IND. SALTA;PTO BS AS;1500;3000;21;22;1;180000;23/06/2021 00:00;1;3;\N;
123;1;PTO BS AS;VILLA OJO DE AGUA;PTO BS AS;930;1860;15;16;1;150000;23/06/2021 00:00;1;3;\N;
124;1;PTO BS AS;EUROAMERICA (CAMPANA);;60;60;1;2;0;19000;30/06/2021 00:00;1;3;\N;
125;1;PTO BS AS;CORDOBA CAPITAL;PTO BS AS;700;1400;10;11;1;95000;01/07/2021 00:00;1;3;\N;
126;1;SAN MARTIN ;EZEIZA - AEROPUERTO;;35;70;1;2;0;8500;01/07/2021 00:00;1;3;\N;
127;1;PTO BS AS;CONCORDIA;PTO BS AS;430;860;6;7;1;65000;12/07/2021 00:00;1;3;\N;
128;1;PTO BS AS;VENADO TUERTO;PTO BS AS;380;760;6;7;1;55000;19/07/2021 00:00;1;3;\N;
129;1;PTO ZARATE;LINCOLN;PTO ZARATE;280;560;5;6;1;59000;02/08/2021 00:00;1;3;\N;
131;1;DEFISA ;BALCARCE;;420;820;5;6;1;70000;05/08/2021 00:00;1;3;\N;
132;1;PTO BS AS;SALTA;PTO BS AS;1500;3000;18;20;1;195000;05/08/2021 00:00;1;3;\N;
133;1;PTO BS AS;SALTA/JUJUY - TABACO;PTO BS AS;1500;3000;18;20;1;200000;12/08/2021 00:00;1;3;\N;
134;1;PTO BS AS;DON TORCUATO;PTO BS AS;25;50;1;2;1;19000;12/08/2021 00:00;1;3;\N;
135;1;PTO BS AS;LAVALLOL;PTO BS AS;35;70;2;3;1;25000;12/08/2021 00:00;1;3;\N;
136;1;GEMEZ BARRACAS;CORDOBA CAPITAL;;700;1400;9;10;1;80000;12/08/2021 00:00;1;5;\N;
137;1;PTO BS AS;EZEIZA;PTO BS AS;42;84;2;2;1;38000;20/08/2021 00:00;1;3;\N;
139;1;PTO BS AS;LAS LAJITAS;PTO BS AS;1460;2920;22;24;1;200000;27/08/2021 00:00;1;3;\N;
140;1;GEMEZ BARRACAS;ROSARIO;;300;600;5;6;0;43000;13/10/2021 00:00;1;3;\N;
141;1;DEFISA ;BALCARCE;PTO BS AS;410;820;7;8;1;70000;14/10/2021 00:00;1;3;\N;
142;1;PTO BS AS;LAS JUNTURAS;PTO BS AS;630;1260;8;9;1;83000;20/10/2021 00:00;1;3;\N;
143;1;PTO BS AS;VILLA DEL TOTORAL;PTO BS AS;800;1600;10;11;1;110000;26/10/2021 00:00;1;3;\N;
144;1;PTO BS AS;FLORENCIO VARELA;PTO BS AS;40;80;1;2;1;15000;28/10/2021 00:00;1;3;\N;
145;1;PTO BS AS;SANTA ISABEL;PTO BS AS;370;740;5;6;1;63000;28/10/2021 00:00;1;3;\N;
146;1;PTO BS AS;COLONIA CAROYA;PTO BS AS;750;1500;10;12;1;110000;29/10/2021 00:00;1;3;\N;
147;1;PTO BS AS;GENERAL RODRIGUEZ;PTO BS AS;50;100;2;2;1;45000;04/11/2021 00:00;1;3;\N;
148;1;PTO BS AS;TRES ARROYOS;PTO BS AS;500;1000;8;9;1;85000;09/11/2021 00:00;1;3;\N;
149;1;MERCOCARGA;GENERAL RODRIGUEZ;;45;90;2;2;0;14000;15/11/2021 00:00;1;3;\N;
150;1;PTO BS AS;PICHANAL - GRAL GUEMES;PTO BS AS;1660;3320;36;36;1;240000;19/11/2021 00:00;1;3;\N;
151;1;PTO BS AS;CHABAS;PTO BS AS;350;700;6;7;1;65000;30/11/2021 00:00;1;3;\N;
155;1;PTO BS AS;ESPINILLOS;PTO BS AS;630;1260;9;10;1;90000;02/12/2021 00:00;1;8;\N;
156;1;PTO BS AS;POZO DEL MOLLE;PTO BS AS;580;1160;7;8;1;90000;02/12/2021 00:00;1;3;\N;
157;1;ECOTANK;ARROYO SECO;PTO BS AS;270;540;4;5;1;50000;02/12/2021 00:00;1;3;\N;
158;1;PTO ZARATE;PICHANAL - GRAL GUEMES;PTO ZARATE;1568;3136;30;36;1;250000;15/12/2021 00:00;1;4;\N;
160;1;ECOTANK;ISIDRO CASANOVA;PTO BS AS;35;70;1;2;1;25000;21/12/2021 00:00;1;3;\N;
406;2;PTO BS AS;GENERAL DEHEZA;PTO BS AS;50;100;8;10;1;40000;10/08/2020 00:00;1;3;1;
407;2;PTO BS AS;ALEJANDRO ROCA;PTO BS AS;550;1100;10;12;1;38000;10/08/2020 00:00;1;3;2;
408;2;PTO BS AS;CALCHIN;PTO BS AS;630;1260;10;12;1;65000;17/03/2021 00:00;1;3;3;
409;2;PTO BS AS;VILLA MERCEDES SL;PTO BS AS;710;1420;12;14;1;45000;26/02/2020 00:00;1;3;4;163
410;2;PTO BS AS;CNEL SUAREZ;PTO BS AS;550;1100;10;12;1;40000;24/08/2020 00:00;1;3;5;164
411;2;PTO BS AS;LA LAGUNA;PTO BS AS;600;1200;10;12;1;40000;10/08/2020 00:00;1;3;6;165
